n,r,t
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:night,text:night}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:walk,text:walk}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:vision,text:vision}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:act,text:act}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:choose,text:choose}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:benefit,text:benefit}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:citizen,text:citizen}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:issue,text:issue}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:gross_domestic_product,text:gdp}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:resilient,text:resilient}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:building,text:building}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:plan,text:plan}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:climate,text:climate}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:change,text:change}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:resilience,text:resilience}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:implement,text:implement}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:hazard,text:risk}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:support,text:support}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:periurban,text:periurban}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:environmental,text:environmental}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:substantially,text:substantially}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:colony,text:settlement}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:strengthen,text:strengthen}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:protect,text:protect}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:accessible,text:accessible}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:special,text:special}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:attention,text:attention}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:situation,text:situation}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:woman,text:woman}"
"{nombre:Make cities and human settlements inclusive, safe, resilient and sustainable,id:11}",{peso:0.0031746031746031746},"{concept:disability,text:disability}"
