n,r,t
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:poverty,text:poverty}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:monetary_value,text:price}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:function,text:role}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:new,text:new}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:poor_people,text:poor}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:care,text:care}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:trade,text:trade}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:lack,text:lack}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:theleast,text:theleast}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:billionpeopledo,text:billionpeopledo}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:change,text:change}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:climate,text:climate}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:internet,text:internet}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:environment,text:environment}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:facilitate,text:facilitate}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:ascent,text:upgrade}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:action,text:action}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:capability,text:capability}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:particular,text:particular}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:financial,text:financial}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:significantly,text:significantly}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:domestic,text:domestic}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:opportunity,text:opportunity}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:highincome,text:highincome}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:face,text:face}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:rapidly,text:rapidly}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:International,text:international}"
