n,r,t
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:impact,text:impact}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:apply,text:apply}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:economic,text:economic}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:healthcare,text:healthcare}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:achieve,text:achieve}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:provide,text:provide}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:engagement,text:participation}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:2030,text:2030}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:significantly,text:significantly}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:online,text:online}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:3,text:3}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:legal,text:legal}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:experience,text:experience}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:prisoner,text:prisoner}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:rule,text:rule}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:age,text:age}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:bribery,text:bribery}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:million,text:trillion}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:protect,text:protect}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.0030349013657056147},"{concept:challenge,text:challenge}"
