;text;concept; weight ;;0,0030534;;;;;
0;science;science;0,0030534;1;;327,5;1079;3,294656489;655;557
1;sustainable;sustainable;0,0030534;1;;;;;;
2;major;major;0,0030534;1;;;;;;
3;role;function;0,0030534;1;;;;;;
4;promote;promote;0,0030534;1;;;;;;
5;opportunity;opportunity;0,0030534;1;;;;;;
6;active;active_agent;0,0030534;1;;;;;;
7;goal;goal;0,0030534;1;;;;;;
8;strategy;scheme;0,0030534;1;;;;;;
9;support;support;0,0030534;1;;;;;;
10;significant;significant;0,0030534;1;;;;;;
11;provide;provide;0,0030534;1;;;;;;
12;develop;develop;0,0030534;1;;;;;;
13;particular;particular;0,0030534;1;;;;;;
14;right;right;0,0030534;1;;;;;;
15;form;form;0,0030534;1;;;;;;
16;new;new;0,0030534;1;;;;;;
17;technology;technology;0,0030534;1;;;;;;
18;service;service;0,0030534;1;;;;;;
19;implement;implement;0,0030534;1;;;;;;
20;appropriate;appropriate;0,0030534;1;;;;;;
21;national;national;0,0030534;1;;;;;;
22;measure;measure;0,0030534;1;;;;;;
23;small;small;0,0030534;1;;;;;;
24;grow;grow;0,0030534;1;;;;;;
25;inequality;inequality;0,0030534;1;;;;;;
26;detrimental;detrimental;0,0030534;1;;;;;;
27;undermine;undermine;0,0030534;1;;;;;;
28;cohesion;coherence;0,0030534;1;;;;;;
29;political;political;0,0030534;1;;;;;;
30;tension;tension;0,0030534;1;;;;;;
31;circumstance;circumstance;0,0030534;1;;;;;;
32;drive;drive;0,0030534;1;;;;;;
33;instability;instability;0,0030534;1;;;;;;
34;unemployment;unemployment;0,0030534;1;;;;;;
35;exclusion;exclusion;0,0030534;1;;;;;;
36;certain;certain;0,0030534;1;;;;;;
37;phenomena;phenomena;0,0030534;1;;;;;;
38;prevent;prevent;0,0030534;1;;;;;;
39;productive;productive;0,0030534;1;;;;;;
40;rural;rural;0,0030534;1;;;;;;
41;urban;urban;0,0030534;1;;;;;;
42;17.2 per cent;17.2 per cent;0,0030534;1;;;;;;
43;more than three;more than three;0,0030534;1;;;;;;
44;struggle;struggle;0,0030534;1;;;;;;
45;fulfil;fulfil;0,0030534;1;;;;;;
46;need;need;0,0030534;1;;;;;;
47;enable;enable;0,0030534;1;;;;;;
48;drinking;drinking;0,0030534;1;;;;;;
49;create;create;0,0045802;1,5;;;;;;
50;propoor;propoor;0,0045802;1,5;;;;;;
51;development;development;0,0045802;1,5;;;;;;
52;policy;policy;0,0045802;1,5;;;;;;
53;resource;resource;0,0045802;1,5;;;;;;
54;achieve;achieve;0,0045802;1,5;;;;;;
55;man;man;0,0045802;1,5;;;;;;
56;increase;addition;0,0045802;1,5;;;;;;
57;vulnerability;vulnerability;0,0045802;1,5;;;;;;
58;disaster;catastrophe;0,0045802;1,5;;;;;;
59;group;group;0,0045802;1,5;;;;;;
60;critical;critical;0,0045802;1,5;;;;;;
61;fact;fact;0,0045802;1,5;;;;;;
62;employ;employment;0,0045802;1,5;;;;;;
63;worker;worker;0,0045802;1,5;;;;;;
64;family;family;0,0045802;1,5;;;;;;
65;8 per cent;8 per cent;0,0045802;1,5;;;;;;
66;rate;rate;0,0045802;1,5;;;;;;
67;basic;BASIC;0,0045802;1,5;;;;;;
106;sanitation;sanitation;0,0045802;1,5;;;;;;
107;health;health;0,0045802;1,5;;;;;;
108;disease;disease;0,0045802;1,5;;;;;;
109;cause;cause;0,0045802;1,5;;;;;;
110;education;education;0,0045802;1,5;;;;;;
100;water;water;0,0061069;2;;;;;;
101;2018;2018;0,0061069;2;;;;;;
102;dimension;dimension;0,0061069;2;;;;;;
103;age;age;0,0061069;2;;;;;;
104;woman;woman;0,0061069;2;;;;;;
105;end;end;0,0061069;2;;;;;;
86;subsaharan africa;subsaharan africa;0,0076336;2,5;;;;;;
87;less than $1.90;less than $1.90;0,0076336;2,5;;;;;;
88;subsaharan;subsaharan;0,0076336;2,5;;;;;;
89;majority;majority;0,0076336;2,5;;;;;;
90;cent;cent;0,0076336;2,5;;;;;;
91;disproportionately;disproportionately;0,0076336;2,5;;;;;;
92;affect;affect;0,0076336;2,5;;;;;;
93;five;five;0,0076336;2,5;;;;;;
94;vulnerable;vulnerable;0,0076336;2,5;;;;;;
95;protection;protection;0,0076336;2,5;;;;;;
96;ensure;ensure;0,0076336;2,5;;;;;;
97;include;include;0,0076336;2,5;;;;;;
98;growth;growth;0,0076336;2,5;;;;;;
99;2030;2030;0,0076336;2,5;;;;;;
83;access;entree;0,0091603;3;;;;;;
84;world;universe;0,0091603;3;;;;;;
85;worldwide;worldwide;0,0091603;3;;;;;;
76;population;population;0,010687;3,5;;;;;;
77;day;day;0,010687;3,5;;;;;;
78;living;life;0,010687;3,5;;;;;;
79;decent;decent;0,010687;3,5;;;;;;
80;guarantee;guarantee;0,010687;3,5;;;;;;
81;economic;economic;0,010687;3,5;;;;;;
82;poor;poor_people;0,010687;3,5;;;;;;
74;reduce;reduce;0,0122137;4;;;;;;
75;job;occupation;0,0122137;4;;;;;;
72;people;people;0,0183206;6;;;;;;
73;social;sociable;0,0183206;6;;;;;;
71;child;child;0,0198473;6,5;9;;;;;
70;extreme;extreme;0,0229008;7,5;13;;;;;
69;live;live;0,0366412;12;13;;;;;
68;poverty;poverty;0,0519084;17;33;;;;;
