,text,concept,weight
0,night,night,0.0031746031746031746
1,walk,walk,0.0031746031746031746
2,vision,vision,0.0031746031746031746
3,act,act,0.0031746031746031746
4,choose,choose,0.0031746031746031746
5,benefit,benefit,0.0031746031746031746
6,citizen,citizen,0.0031746031746031746
7,issue,issue,0.0031746031746031746
8,gdp,gross_domestic_product,0.0031746031746031746
9,resilient,resilient,0.0031746031746031746
10,building,building,0.0031746031746031746
11,plan,plan,0.0031746031746031746
12,climate,climate,0.0031746031746031746
13,change,change,0.0031746031746031746
14,resilience,resilience,0.0031746031746031746
15,implement,implement,0.0031746031746031746
16,risk,hazard,0.0031746031746031746
17,support,support,0.0031746031746031746
18,periurban,periurban,0.0031746031746031746
19,environmental,environmental,0.0031746031746031746
20,substantially,substantially,0.0031746031746031746
21,settlement,colony,0.0031746031746031746
22,strengthen,strengthen,0.0031746031746031746
23,protect,protect,0.0031746031746031746
24,accessible,accessible,0.0031746031746031746
25,special,special,0.0031746031746031746
26,attention,attention,0.0031746031746031746
27,situation,situation,0.0031746031746031746
28,woman,woman,0.0031746031746031746
29,disability,disability,0.0031746031746031746
30,old,old,0.0031746031746031746
31,affordable,affordable,0.0031746031746031746
32,safety,safety,0.0031746031746031746
33,more than half,more than half,0.0031746031746031746
34,death,death,0.0031746031746031746
35,environment,environment,0.0031746031746031746
36,health,health,0.0031746031746031746
37,occupy,occupy,0.0031746031746031746
38,need,need,0.0031746031746031746
39,example,example,0.0031746031746031746
40,increase,addition,0.0031746031746031746
41,municipal,municipal,0.0031746031746031746
42,rapid,rapid,0.0031746031746031746
43,grow,grow,0.0031746031746031746
44,improve,improve,0.0031746031746031746
45,adequate,adequate,0.0031746031746031746
46,way,manner,0.0031746031746031746
47,continue,continue,0.0031746031746031746
48,job,occupation,0.0031746031746031746
49,prosperity,prosperity,0.0031746031746031746
50,practice,practice,0.0031746031746031746
51,place,topographic_point,0.0031746031746031746
52,5 billion,5 billion,0.0031746031746031746
53,productivity,productiveness,0.0031746031746031746
54,development,development,0.0031746031746031746
55,space,space,0.0031746031746031746
56,build,physique,0.004761904761904762
57,inclusive,inclusive,0.004761904761904762
58,human,homo,0.004761904761904762
59,natural,natural,0.004761904761904762
60,vulnerable,vulnerable,0.004761904761904762
61,child,child,0.004761904761904762
62,population,population,0.004761904761904762
63,level,degree,0.004761904761904762
64,account,history,0.004761904761904762
65,city,city,0.03968253968253968
66,cent,cent,0.01746031746031746
67,people,people,0.015873015873015872
68,2030,2030,0.015873015873015872
69,urban,urban,0.012698412698412698
70,live,live,0.012698412698412698
71,world,universe,0.011111111111111112
72,disaster,catastrophe,0.011111111111111112
73,public,populace,0.009523809523809525
74,air,air,0.009523809523809525
75,management,management,0.009523809523809525
76,pollution,pollution,0.009523809523809525
77,sustainable,sustainable,0.009523809523809525
78,life,life,0.007936507936507936
79,quality,quality,0.007936507936507936
80,urbanization,urbanization,0.007936507936507936
81,challenge,challenge,0.007936507936507936
82,number,number,0.007936507936507936
83,safe,safe,0.007936507936507936
84,slum,slum,0.007936507936507936
85,economic,economic,0.007936507936507936
86,create,create,0.006349206349206349
87,social,sociable,0.006349206349206349
88,rise,rise,0.006349206349206349
89,resource,resource,0.006349206349206349
90,provide,provide,0.006349206349206349
91,include,include,0.006349206349206349
92,energy,energy,0.006349206349206349
93,access,entree,0.006349206349206349
94,today,today,0.006349206349206349
95,earth,Earth,0.006349206349206349
96,emission,emission,0.006349206349206349
97,global,global,0.006349206349206349
98,person,person,0.006349206349206349
99,transport,conveyance,0.006349206349206349
100,affect,affect,0.006349206349206349
101,share,share,0.004761904761904762
102,planning,planning,0.004761904761904762
103,project,undertaking,0.004761904761904762
104,land,land,0.004761904761904762
105,housing,housing,0.004761904761904762
106,service,service,0.004761904761904762
107,basic,BASIC,0.004761904761904762
108,reduce,reduce,0.004761904761904762
109,waste,waste,0.004761904761904762
110,develop,develop,0.004761904761904762
111,carbon,carbon,0.004761904761904762
112,consumption,consumption,0.004761904761904762
