,text,concept,weight
0,poverty,poverty,0.0030721966205837174
1,price,monetary_value,0.0030721966205837174
2,role,function,0.0030721966205837174
3,new,new,0.0030721966205837174
4,poor,poor_people,0.0030721966205837174
5,care,care,0.0030721966205837174
6,trade,trade,0.0030721966205837174
7,lack,lack,0.0030721966205837174
8,theleast,theleast,0.0030721966205837174
9,billionpeopledo,billionpeopledo,0.0030721966205837174
10,change,change,0.0030721966205837174
11,climate,climate,0.0030721966205837174
12,internet,internet,0.0030721966205837174
13,environment,environment,0.0030721966205837174
14,facilitate,facilitate,0.0030721966205837174
15,upgrade,ascent,0.0030721966205837174
16,action,action,0.0030721966205837174
17,capability,capability,0.0030721966205837174
18,particular,particular,0.0030721966205837174
19,financial,financial,0.0030721966205837174
20,significantly,significantly,0.0030721966205837174
21,domestic,domestic,0.0030721966205837174
22,opportunity,opportunity,0.0030721966205837174
23,highincome,highincome,0.0030721966205837174
24,face,face,0.0030721966205837174
25,rapidly,rapidly,0.0030721966205837174
26,international,International,0.0030721966205837174
27,middleincome,middleincome,0.0030721966205837174
28,sustained,sustained,0.0030721966205837174
29,worldwide,worldwide,0.0030721966205837174
30,small,small,0.0030721966205837174
31,enterprise,enterprise,0.0030721966205837174
32,processing,processing,0.0030721966205837174
33,effect,consequence,0.0030721966205837174
34,positive,positive,0.0030721966205837174
35,affect,affect,0.0030721966205837174
36,lowerincome,lowerincome,0.0030721966205837174
37,road,road,0.0030721966205837174
38,electrical,electrical,0.0030721966205837174
39,power,power,0.0030721966205837174
40,water,water,0.0030721966205837174
41,scarce,scarce,0.0030721966205837174
42,production,production,0.0030721966205837174
43,efficiency,efficiency,0.0030721966205837174
44,focus,focus,0.0030721966205837174
45,mobile,Mobile,0.0030721966205837174
46,service,service,0.0030721966205837174
47,happen,happen,0.0030721966205837174
48,emission,emission,0.0030721966205837174
49,add,attention_deficit_disorder,0.0030721966205837174
50,important,important,0.0030721966205837174
51,driver,driver,0.0030721966205837174
52,income,income,0.0030721966205837174
53,improvement,improvement,0.0030721966205837174
54,health,health,0.0030721966205837174
55,achieve,achieve,0.0030721966205837174
56,standard,standard,0.0030721966205837174
57,ensure,ensure,0.0030721966205837174
58,public,populace,0.0030721966205837174
59,develop,develop,0.03225806451612903
60,infrastructure,infrastructure,0.019969278033794162
61,development,development,0.018433179723502304
62,sustainable,sustainable,0.015360983102918587
63,increase,addition,0.013824884792626729
64,industrialization,industrialization,0.013824884792626729
65,access,entree,0.013824884792626729
66,technology,technology,0.01228878648233487
67,manufacturing,fabrication,0.01228878648233487
68,industrial,industrial,0.01228878648233487
69,industry,industry,0.010752688172043012
70,growth,growth,0.010752688172043012
71,goal,goal,0.010752688172043012
72,promote,promote,0.009216589861751152
73,innovation,invention,0.009216589861751152
74,people,people,0.009216589861751152
75,investment,investing,0.007680491551459293
76,employment,employment,0.007680491551459293
77,economic,economic,0.007680491551459293
78,technological,technological,0.007680491551459293
79,cent,cent,0.007680491551459293
80,include,include,0.007680491551459293
81,communication,communication,0.006144393241167435
82,information,information,0.006144393241167435
83,productivity,productiveness,0.006144393241167435
84,value,value,0.006144393241167435
85,sanitation,sanitation,0.006144393241167435
86,basic,BASIC,0.006144393241167435
87,global,global,0.006144393241167435
88,african,African,0.006144393241167435
89,job,occupation,0.006144393241167435
90,support,support,0.006144393241167435
91,resilient,resilient,0.006144393241167435
92,research,research,0.006144393241167435
93,sector,sector,0.004608294930875576
94,process,procedure,0.004608294930875576
95,progress,advancement,0.004608294930875576
96,product,merchandise,0.004608294930875576
97,remain,remain,0.004608294930875576
98,population,population,0.004608294930875576
99,share,share,0.004608294930875576
100,affordable,affordable,0.004608294930875576
101,2030,2030,0.004608294930875576
102,inclusive,inclusive,0.004608294930875576
103,social,sociable,0.0030721966205837174
104,wellbeing,wellbeing,0.0030721966205837174
105,impact,impact,0.0030721966205837174
106,help,aid,0.0030721966205837174
